"This list is a compiled directory of organisations accepting donations for flood relief. It has not been independently vetted, and inclusion does not imply endorsement. Please double-check and verify organisations before making a donation. See links for details",,,,,,,,
Related Organization,Org Type,Donation Details,Monetary Donations,Dry Rations/Items,Volunteer,Overseas Donations,Item Drop Off,Org Link
Hope Gallery and Rotaract Club of Edith Cowan University,Volunteer service,https://www.instagram.com/p/DRrBS7Pihk2/?img_index=1,,Yes,,,Ruhunupura Kalalgoda,
Rotaract Club of Colombo Citadel,Volunteer service,https://www.instagram.com/p/DRrFKZRiELB/?igsh=NTZ0aHJjNnIyeXh4,Yes,Yes,,,Bellamwila,
Amalini De Sayrah - verified organisations,Independent,https://docs.google.com/document/d/1nurUZGpF4hTbGSBw9trINt31nQARItFxhgEiBFW3uW0/edit?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnX3stqUbKTHMp32Ru6Gm-aigurB7wFkxl2uLtNoFWNdMV43ZkRz0MGQywo8Q_aem_DMAjM38QMtiG-DBCtwR7Ug&tab=t.0,Yes,Yes,,,,
Design Collective + Aries foundation,Independent,https://www.instagram.com/p/DRr0ZMsCMCK/,,Yes,,,Colombo 6 + other,
Umara Music Studios,Independent,https://www.instagram.com/p/DRm6a3IiMK1/,,Yes,,,Pelawatte,
Anim8.lk & AltruCircle,Independent,https://www.instagram.com/p/DRmiB83jNKj/?img_index=2,,Yes,,,Colombo 08,
Round table Sri Lanka,Independent,https://www.instagram.com/p/DRmthu5iKva/,Yes,Yes,,,Colombo and suburbs,https://rtsrilanka.org/
Hindu College OBA,Independent,https://www.instagram.com/p/DRotPNPjIxs/,Yes,Yes,,,Hindu College Colombo,
Girl guides Srilanka,Independent,https://www.instagram.com/p/DRoJQD-DMi1/,,Yes,,,Colombo 7,
Child Action Lanka,Independent,https://www.instagram.com/p/DRmGbdMCi2g/,Yes,Yes,,,Colombo 8,https://www.childactionlanka.org/
Infinity studios,Independent,https://www.instagram.com/p/DRobBb0AZhr/,,Yes,,,Infinity Studio Kalalgoda,
Robin Hood Army Sri Lanka,Independent,https://www.instagram.com/p/DRocsCqjMNn/,,Yes,,,Colombo and suburbs,https://sites.google.com/view/rha-srilankameettherobins/home?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGn3dDNT_N0GbxnhAx-KsFkuF6rIZxqNSfmGYxeIddigJHfA-cHIGbDPv9oORw_aem_k2mmdTpa9_2BkmdQLl9Fhw
AMDT school of creativity,Independent,https://www.facebook.com/photo?fbid=1274020538096414&set=a.445370590961417,,Yes,,,Colombo 4,https://amdt.lk/about/
VXL education and MAD marketing,Independent,https://www.facebook.com/photo/?fbid=10172850867470564&set=pcb.10172850907040564,Yes,Yes,,,"Nugegoda, Homagama, Piliyandala",https://www.vxl.lk/?fbclid=IwY2xjawOYlYpleHRuA2FlbQIxMABicmlkETFCb1dydGJpNkp4T1hvYjVRc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHvc2hi7PNEqez6jN6vZel2A2_eyKSBUrVzfZDgIWgvDf8B3RobDwpTdY6XAm_aem_y9DetMjzmR8jON5eDlC1Jg
Nook Cakery,Independent,https://www.instagram.com/p/DRrF2GpCNPi/?img_index=1&igsh=ZXE0NTBjNWhpd3p6,Yes,Yes,,,,
Kattoomittu achcharu hut,Independent,https://www.instagram.com/p/DRpwTeDjQ2m/?igsh=NnlyY2h1ejJyYXg2,Yes,Yes,,,"Kolonnawa, Kirulapone, Battaramulla",
Tuk tuk rentals - gofundme,Independent,https://www.gofundme.com/f/flood-relief-in-sri-lanka-2025,Yes,,,Yes,,https://tuktukrental.com/about-tuktuk-rental/?_gl=1*1ufsjh1*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA86_JBhAIEiwA4i9JuzEmFZYU5clwXnVhQu752j2Pqxo7kkHU1IOYa3m5VmBpyg4bLvr7RhoCjF4QAvD_BwE
Tuk tuk rentals,Independent,https://www.instagram.com/p/DRrUW_DE6f5/,,,Yes,,,
National senior bands association of sri lanka,Independent,https://www.instagram.com/p/DRooc4rjXOs/?igsh=ZDMyZG10NXAzOHY4,,Yes,,,"Colombo, Gampaha, Galle, Matara",
Kelly Felder and Rotary club of Colombo East,Independent,https://kellyfelder.com/community/give/project-hope?fbclid=IwVERDUAOY4fpleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR5CAcR7FZ6UUlL49Nw_tjRCcpTA0hhjPC5BTER5HIGp883pLcKJnvYDECyC6A_aem_TGuHkjkip6rMyzpAZrmpjg&utm_source=Meta_Ads_November&utm_medium=Wyld%20x%20KF%20%7C%20CSR%20Campaign%20%7C%20Engagement%20%7C%20November&utm_campaign=CSR%20Campaign%20FB&utm_content=CSR%20Campaign%20FB%20AD,Yes,,,,,
